permission_code,module,action,allowed_scopes,sensitive,default_roles,notes
org.branch.view,Organization,view,GLOBAL,false,Super Admin; Operations Manager,Branch user chỉ nhận branch qua assignment không tự cấp quản trị
org.branch.manage,Organization,manage,GLOBAL,true,Super Admin,Thay đổi trạng thái cần audit reason
org.warehouse.view,Organization,view,GLOBAL;BRANCH;WAREHOUSE,false,Super Admin; Inventory Manager; Warehouse Operator,
org.warehouse.manage,Organization,manage,GLOBAL;BRANCH,true,Super Admin; Inventory Manager,
iam.user.view,IAM,view,GLOBAL;BRANCH,true,OWNER; BRANCH_MANAGER,Branch Manager chỉ thấy nhân sự có assignment trong branch của mình; che PII theo field policy
iam.user.manage,IAM,manage,GLOBAL,true,OWNER,Chỉ Admin gốc tạo và khóa/mở tài khoản BRANCH_MANAGER hoặc STAFF; OWNER bất biến
iam.role.view,IAM,view,GLOBAL,false,OWNER,Chỉ Admin gốc xem danh mục quyền và lookup role BRANCH_MANAGER hoặc STAFF để phân quyền
iam.role.manage,IAM,manage,GLOBAL,true,Super Admin; Security Admin,Permission cache phải invalidate
iam.assignment.manage,IAM,manage,GLOBAL,true,OWNER,Chỉ Admin gốc gán/thu hồi BRANCH_MANAGER hoặc STAFF theo branch; OWNER không thể gán hay thu hồi; mọi thay đổi tăng permission_version và ghi audit
iam.audit.view,IAM,view,GLOBAL,true,OWNER,API kiểm tra GLOBAL scope; chỉ đọc append-only; redact credential/hash/email/phone
customer.view,Customer,view,GLOBAL;BRANCH;OWN,true,Customer Service; Order Operator,OWN cho customer portal
customer.manage,Customer,manage,GLOBAL;BRANCH;OWN,true,Customer Service,Audit PII change
catalog.brand.view,Catalog,view,GLOBAL;BRANCH,false,Catalog Manager; Order Operator; Warehouse Operator,
catalog.brand.manage,Catalog,manage,GLOBAL,false,Catalog Manager,
catalog.category.view,Catalog,view,GLOBAL;BRANCH,false,Catalog Manager; Order Operator,
catalog.category.manage,Catalog,manage,GLOBAL,false,Catalog Manager,
catalog.product.view,Catalog,view,GLOBAL;BRANCH;WAREHOUSE,false,Catalog Manager; Pricing Manager; Inventory Manager; Warehouse Operator; Order Operator,
catalog.product.manage,Catalog,manage,GLOBAL,false,Catalog Manager,
catalog.product.publish,Catalog,publish,GLOBAL,true,Catalog Manager,Tách publish khỏi edit nếu team lớn
catalog.review.moderate,Catalog,moderate,GLOBAL;BRANCH,true,Content Moderator,
catalog.review.reply,Catalog,reply,GLOBAL;BRANCH;OWN,true,Content Moderator; Customer Service; Customer,OWN chỉ review của customer
catalog.price.view,Pricing,view,GLOBAL;BRANCH,false,Pricing Manager; Catalog Manager; Order Operator,
catalog.price.manage,Pricing,manage,GLOBAL,true,Pricing Manager,Giá nhạy cảm có threshold approval
catalog.flash_sale.view,Pricing,view,GLOBAL;BRANCH,false,Marketing Manager; Pricing Manager,
catalog.flash_sale.manage,Pricing,manage,GLOBAL,true,Marketing Manager; Pricing Manager,Schedule/quota change phải audit
inventory.stock.view,Inventory,view,GLOBAL;BRANCH;WAREHOUSE,false,Inventory Manager; Warehouse Operator; Order Operator,
inventory.stock.adjust,Inventory,adjust,GLOBAL;BRANCH;WAREHOUSE,true,Inventory Manager,Vượt threshold cần approval
inventory.stocktake.manage,Inventory,manage,GLOBAL;BRANCH;WAREHOUSE,true,Inventory Manager; Warehouse Operator,Submit/post có thể tách quyền ở V2
inventory.transfer.view,Inventory,view,GLOBAL;BRANCH;WAREHOUSE,false,Inventory Manager; Warehouse Operator,
inventory.transfer.create,Inventory,create,GLOBAL;BRANCH;WAREHOUSE,true,Inventory Manager; Warehouse Operator,
