id,module,table_name,priority,purpose,primary_key,important_foreign_keys,unique_or_check,key_columns,retention
T01,Organization,branches,P0,Chi nhánh bán hàng,id,,code UQ,"code,name,status,address_json,phone,timezone,version",status INACTIVE; retain for FK/audit
T02,Organization,warehouses,P0,Kho vật lý,id,branch_id->branches,code UQ; branch_id UQ,"code,branch_id,name,status,version",status INACTIVE; retain for FK/audit
T03,IAM,users,P0,Tài khoản customer/staff; local seed có đúng một bootstrap OWNER,id,,normalized email/phone non-null partial UQ; failed_login_attempts >= 0,"type,email,normalized_email,phone,normalized_phone,password_hash,status,failed_login_attempts,must_change_password,locked_at,lock_reason,permission_version,last_login_at,version","Sai password lần 5 => LOCKED + revoke session; staff mới/unlock/bootstrap phải đổi password; seed không reset password đã đổi; never hard-delete"
T04,IAM,auth_sessions,P0,Refresh session/device,id,user_id->users,refresh_token_hash UQ; rotated_from_id UQ,"device_info,ip_hash,expires_at,revoked_at,rotated_from_id",purge after expiry window
T05,IAM,roles,P0,Vai trò,id,,code UQ,"code,name,description,status,is_system,version",status INACTIVE; retain assignments/audit
T06,IAM,permissions,P0,Quyền nghiệp vụ,id,,code UQ,"code,module,action,description,is_sensitive",never reuse code
T07,IAM,role_permissions,P0,Role-permission,role_id+permission_id,role_id->roles; permission_id->permissions,composite PK,"role_id,permission_id,granted_by,created_at",while role retained
T08,IAM,user_role_assignments,P0,Gán role; API V1 GLOBAL/BRANCH và DB giữ WAREHOUSE/OWN dormant,id,user_id->users; role_id->roles; branch_id->branches; warehouse_id->warehouses,active assignment partial UQ theo scope; scope shape CHECK,"scope_type,branch_id,warehouse_id,valid_from,valid_to,status,version",audit + expire not delete
T09,IAM,audit_logs,P0,Audit append-only,id,actor_user_id->users RESTRICT,request+sequence UQ; actor consistency CHECK; reject UPDATE/DELETE/TRUNCATE; created_at+id IDX,"actor_type,actor_user_id,action,entity_type,entity_id,before_json,after_json,reason,ip_hash,created_at",10 years proposed; query GLOBAL owner only; redact secret/PII; no physical delete
T10,Approval,approval_requests,P1,Maker-checker generic,id,maker_id/approver_id->users,business key UQ,"type,entity_type,entity_id,proposed_payload,status,expires_at,execution_status,version",10 years for finance/stock
T11,Customer,customers,P0,Hồ sơ khách,id,user_id->users,user_id partial UQ,"customer_no,name,email,phone,status,marketing_consent,version",anonymize rules
T12,Customer,customer_addresses,P0,Sổ địa chỉ,id,customer_id->customers,one default per type partial UQ,"type,recipient,phone,address_line,ward,district,province_code,postal_code,is_default",soft-delete
T13,Catalog,brands,P0,Nhãn hiệu,id,logo_asset_id->media_assets,code UQ; slug UQ,"code,name,slug,logo_asset_id,status,seo_json,version",status INACTIVE; retain references
T14,Catalog,categories,P0,Danh mục cây,id,parent_id->categories; image_asset_id->media_assets,slug UQ; no cycle,"code,name,slug,parent_id,path,image_asset_id,sort_order,status,version",status INACTIVE; retain tree/references
T15,Catalog,products,P0,SPU chuẩn hoặc combo,id,brand_id->brands,slug UQ; product_no UQ; product_type CHECK STANDARD/BUNDLE,"name,slug,product_type,brand_id,short_description,description,status,published_at,seo_json,version",archive not delete after order; không trộn SKU thường/combo
T16,Catalog,product_categories,P0,Product-category,product_id+category_id,product_id->products; category_id->categories,composite PK,"is_primary,sort_order",while product retained
T17,Catalog,product_variants,P0,SKU bán được,id,product_id->products,sku UQ; barcode non-null partial UQ,"sku,barcode,name,weight_grams,length_mm,width_mm,height_mm,status,version,bundle per variant",status INACTIVE; storefront chỉ trả sellable variant; retain transaction references
T18,Catalog,product_media,P0,Ảnh/video,id,product_id->products; variant_id->product_variants; media_asset_id->media_assets,one ACTIVE primary per target partial UQ,"media_asset_id,media_type,alt_text,sort_order,is_primary,status",status INACTIVE; retain relation history
T19,Catalog,attributes,P1,Định nghĩa thuộc tính,id,,code UQ,"code,name,data_type,is_variant_axis,status,sort_order",soft-delete
T20,Catalog,attribute_values,P1,Giá trị thuộc tính,id,attribute_id->attributes,attribute+code UQ,"code,label,color_hex,sort_order,status",soft-delete
T21,Catalog,product_attribute_values,P1,Thuộc tính cấp product,id,product_id->products; attribute_id->attributes,product+attribute+value/value hash UQ,"attribute_value_id,value_text,value_number",while product retained
T22,Catalog,variant_attribute_values,P1,Tổ hợp variant,variant_id+attribute_id,variant_id->product_variants; attribute_id->attributes; attribute_value_id->attribute_values,variant+attribute UQ,"attribute_value_id",while variant retained
